event_attendence,event_date,fighter1,fighter2,pass_stat_f1,pass_stat_f2,round,str_stat_f1,str_stat_f2,sub_stat_f1,sub_stat_f2,td_stat_f1,td_stat_f2,time,weight_class,win_method_finish,win_method_type,f1_record,f1_dob,f1_height,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f1_weight,f2_record,f2_dob,f2_height,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f2_weight,winner
14736,September 06 2008,Rich Franklin,Matt Hamill,0,0,3,71,13,0,0,0,1,0.39,Light Heavyweight,Kick,KO/TKO,Record: 29-7-0 (1 NC),Oct 05 1974,6' 1,75,2.07,4.1,Southpaw,44,62,0.7,66,1.31,63,185,Record: 12-5-0,Oct 05 1976,6' 1,76,3.8,3.69,Orthodox,42,61,0,34,3,91,205,Rich Franklin
14736,September 06 2008,Dan Henderson,Rousimar Palhares,0,1,3,42,27,0,1,0,2,5,Middleweight,,U-DEC,Record: 32-15-0,Aug 24 1970,5' 11,74,2.7,2.44,Orthodox,47,51,0.3,52,1.52,57,185,Record: 24-5-0,Feb 26 1980,5' 8,71,2.04,1.75,Orthodox,51,59,4.1,45,3.93,0,170,Dan Henderson
14736,September 06 2008,Nate Marquardt,Martin Kampmann,0,0,1,22,1,0,0,0,0,1.22,Middleweight,Punches,KO/TKO,Record: 38-19-2,Apr 20 1979,6' 0,74,2.32,2.71,Orthodox,49,55,0.8,51,1.87,70,185,Record: 20-7-0,Apr 17 1982,6' 0,72,3.28,3.22,Orthodox,42,62,2,41,1.86,78,170,Nate Marquardt
14736,September 06 2008,Dong Hyun Kim,Matt Brown,5,1,3,12,48,1,2,3,1,5,Welterweight,,S-DEC,Record: 22-4-1 (1 NC),Nov 17 1981,6' 2,76,1.89,2.12,Southpaw,49,58,0.6,43,2.93,71,170,Record: 23-16-0,Jan 10 1981,6' 0,75,2.64,3.78,Orthodox,53,56,1.6,46,1.57,63,170,Dong Hyun Kim
14736,September 06 2008,Kurt Pellegrino,Thiago Tavares,5,0,3,61,18,1,0,1,1,5,Lightweight,,U-DEC,Record: 16-6-0,May 07 1979,5' 8,70,1.94,2.45,Orthodox,43,63,0.8,54,2.9,69,155,Record: 24-7-1,Nov 08 1984,5' 7,68,2.31,2,Orthodox,40,62,1.5,42,3.83,62,145,Kurt Pellegrino
14736,September 06 2008,Tim Boetsch,Michael Patt,0,0,1,15,9,0,0,0,0,2.03,Light Heavyweight,Punches,KO/TKO,Record: 21-13-0,Jan 28 1981,6' 0,74,2.9,2.93,Orthodox,50,57,0.8,34,1.45,59,185,Record: 12-4-0,--,6' 0,,5.53,1.65,Orthodox,28,55,0,0,0,0,205,Tim Boetsch
14736,September 06 2008,Jason MacDonald,Jason Lambert,4,0,2,10,1,1,2,2,0,1.2,Middleweight,Rear Naked Choke,SUB,Record: 26-16-0,Jun 03 1975,6' 3,80,2.7,1.55,Orthodox,52,46,2,16,1.43,35,185,Record: 25-12-0,Jun 03 1975,6' 3,75,1.84,3.21,Orthodox,58,50,2.4,36,1.35,28,185,Jason MacDonald
14736,September 06 2008,Ryo Chonan,Roan Carneiro,0,4,3,23,18,0,1,0,2,5,Welterweight,,S-DEC,Record: 20-12-0,Oct 08 1976,5' 9,70,2.25,2.57,Orthodox,43,60,0.3,41,0.61,39,170,Record: 21-11-0,Jun 02 1978,5' 11,74,1.82,1.46,Orthodox,46,62,1.4,42,3.05,83,170,Ryo Chonan
7000,September 17 2008,Nate Diaz,Josh Neer,5,2,3,40,26,0,4,5,4,5,Lightweight,,S-DEC,Record: 20-11-0,Apr 16 1985,6' 0,76,3.69,4.64,Southpaw,44,54,1.4,30,1.17,45,170,Record: 33-13-1,Mar 24 1983,5' 11,72,3.63,3.29,Orthodox,46,58,1.3,34,1.09,46,170,Nate Diaz
7000,September 17 2008,Clay Guida,Mac Danzig,3,0,3,43,36,0,0,10,1,5,Lightweight,,U-DEC,Record: 34-15-0,Dec 08 1981,5' 7,70,2.39,2.33,Orthodox,32,65,0.7,37,3.43,69,155,Record: 22-12-1,Jan 02 1980,5' 8,70,3.44,3.39,Orthodox,48,57,0.6,37,1.2,46,155,Clay Guida
7000,September 17 2008,Alan Belcher,Ed Herman,0,6,3,54,43,0,2,0,5,5,Middleweight,,S-DEC,Record: 17-7-0,Apr 24 1984,6' 2,73,3.1,2.7,Orthodox,41,59,0.9,26,0.44,55,185,Record: 24-14-0 (1 NC),Oct 02 1980,6' 1,77,3.05,3.18,Orthodox,49,44,1.3,51,2.41,60,205,Alan Belcher
7000,September 17 2008,Eric Schafer,Houston Alexander,2,0,1,24,12,2,0,1,0,4.53,Light Heavyweight,Arm Triangle,SUB,Record: 14-7-2,Sep 20 1977,6' 3,75,3.38,1.89,Orthodox,34,56,1.8,36,1.81,50,185,Record: 13-8-1 (2 NC),Mar 22 1972,6' 0,72,3.2,3.06,Orthodox,54,52,0,57,1.19,33,205,Eric Schafer
7000,September 17 2008,Alessio Sakara,Joe Vedepo,0,0,1,7,7,0,0,0,0,1.27,Middleweight,Kick,KO/TKO,Record: 19-11-0 (1 NC),Sep 02 1981,6' 0,72,2.8,3.96,Orthodox,47,59,0,78,2.18,62,185,Record: 11-5-0,--,6' 0,,5.71,1.43,Orthodox,42,38,0,20,1.07,0,185,Alessio Sakara
7000,September 17 2008,Wilson Gouveia,Ryan Jensen,1,1,2,8,30,2,0,1,2,2.04,Middleweight,Armbar,SUB,Record: 12-8-0,Oct 03 1978,6' 1,76,4.06,3.02,Orthodox,39,56,2.2,66,0.9,57,185,Record: 15-8-0,Sep 20 1977,6' 1,76,2.99,2.84,Orthodox,39,59,1.9,50,1.55,31,185,Wilson Gouveia
7000,September 17 2008,Joe Lauzon,Kyle Bradley,3,0,2,23,18,2,0,1,0,1.34,Lightweight,Punches,KO/TKO,Record: 27-16-0,May 22 1984,5' 10,71,5.39,2.74,Orthodox,38,54,2.1,45,2.34,54,155,Record: 15-8-0 (1 NC),Aug 19 1982,5' 9,71,3.45,1.99,Orthodox,40,58,0,50,0.65,40,155,Joe Lauzon
7000,September 17 2008,Jason Brilz,Brad Morris,7,0,2,34,4,1,0,1,0,2.54,Light Heavyweight,Punches,KO/TKO,Record: 18-5-1,Jul 07 1975,5' 11,71,1.78,2.66,Orthodox,40,65,1.3,25,2.37,25,205,Record: 10-6-0,Nov 01 1979,6' 2,,6.95,0.5,Orthodox,62,27,0,0,0,0,205,Jason Brilz
7000,September 17 2008,Mike Massenzio,Drew McFedries,2,0,1,0,3,1,1,1,0,1.28,Middleweight,Kimura,SUB,Record: 13-6-0,Nov 01 1982,6' 2,73,3.59,2.08,Southpaw,45,54,1.4,24,2.74,50,185,Record: 10-6-0,Jul 27 1978,6' 0,72,4.56,5.13,Southpaw,51,52,0.7,100,1.42,56,185,Mike Massenzio
7000,September 17 2008,Dan Miller,Rob Kimmons,0,0,1,0,0,2,0,0,0,1.27,Middleweight,Rear Naked Choke,SUB,Record: 14-8-0 (1 NC),Jun 30 1981,6' 1,74,3.06,2.03,Orthodox,36,49,1.8,54,1.67,47,185,Record: 24-8-0,Jan 30 1981,5' 10,73,4.79,1.86,Orthodox,48,38,2.4,46,2.08,25,185,Dan Miller
9512,October 18 2008,Michael Bisping,Chris Leben,0,0,3,70,51,0,0,1,1,5,Middleweight,,U-DEC,Record: 31-9-0,Feb 28 1979,6' 1,75,2.71,4.33,Orthodox,38,65,0.3,43,1.05,63,185,Record: 22-11-0,Jul 21 1980,5' 11,74,2.87,2.87,Southpaw,42,52,0.8,41,1.14,53,185,Michael Bisping
9512,October 18 2008,Keith Jardine,Brandon Vera,0,0,3,50,48,0,0,2,1,5,Light Heavyweight,,S-DEC,Record: 17-10-2,Oct 31 1975,6' 2,76,2.98,3.25,Orthodox,36,59,0.7,45,1.18,62,185,Record: 12-7-0 (1 NC),Oct 10 1977,6' 3,76,2.81,3.03,Orthodox,56,52,0.2,53,0.7,59,230,Keith Jardine
9512,October 18 2008,Luiz Cane,Rameau Thierry Sokoudjou,0,0,2,41,28,0,0,0,0,4.15,Light Heavyweight,Punches,KO/TKO,Record: 12-5-0 (1 NC),Apr 24 1981,6' 2,77,5,4.79,Southpaw,41,60,0.3,28,0.56,100,185,Record: 12-10-0,Apr 18 1984,5' 10,78,2.61,2.26,Orthodox,45,56,0.9,47,1.93,78,205,Luiz Cane
9512,October 18 2008,Chris Lytle,Paul Taylor,1,0,3,102,85,0,0,2,0,5,Welterweight,,U-DEC,Record: 31-18-5,Aug 18 1974,5' 11,68,3.03,3.76,Orthodox,45,58,2.4,55,0.7,55,170,Record: 11-6-1 (1 NC),Dec 15 1979,6' 0,72,4.47,4.44,Orthodox,47,55,0.5,25,0.27,56,155,Chris Lytle
9512,October 18 2008,Marcus Davis,Paul Kelly,2,0,2,25,3,1,1,1,1,2.16,Welterweight,Guillotine Choke,SUB,Record: 20-9-0 (1 NC),Aug 24 1973,5' 10,70,2.79,2.72,Southpaw,39,65,1.4,48,1.6,47,170,Record: 12-4-0,Sep 12 1984,5' 9,70,2.61,3.22,Orthodox,37,59,1.5,60,1.34,30,155,Marcus Davis
9512,October 18 2008,Dan Hardy,Akihiro Gono,0,1,3,57,56,0,0,0,3,5,Welterweight,,S-DEC,Record: 25-10-0 (1 NC),May 17 1982,6' 0,74,3.44,2.46,Orthodox,35,51,0.4,35,0.73,35,170,Record: 32-16-7,Oct 07 1974,5' 7,68,2.67,2.18,Switch,48,63,0.5,84,1.01,46,170,Dan Hardy
9512,October 18 2008,Shane Carwin,Neil Wain,3,0,1,13,4,0,0,1,0,1.31,Heavyweight,Punches,KO/TKO,Record: 12-2-0,Jan 04 1975,6' 2,80,3.53,4.38,Orthodox,47,53,0,33,1.42,42,265,Record: 10-3-0,--,5' 10,,8.57,2.64,Orthodox,50,43,0,0,0,50,242,Shane Carwin
9512,October 18 2008,David Bielkheden,Jess Liaudin,2,1,3,36,12,0,2,7,1,5,Lightweight,,U-DEC,Record: 16-9-0,Jun 06 1979,5' 10,71,1.64,1.11,Orthodox,57,54,0,63,2.65,14,155,Record: 19-11-0,--,5' 9,72,2.76,2.46,Orthodox,51,41,1.6,53,3.28,30,170,David Bielkheden
9512,October 18 2008,Terry Etim,Sam Stout,0,0,3,69,55,0,0,0,1,5,Lightweight,,U-DEC,Record: 15-5-0,Jan 11 1986,6' 1,73,2.53,2.16,Orthodox,35,67,1.4,30,0.43,39,155,Record: 21-12-1,Apr 23 1984,5' 9,70,4.08,4.17,Orthodox,28,57,0.1,38,0.63,77,155,Terry Etim
9512,October 18 2008,Jim Miller,David Baron,14,0,3,15,7,5,1,5,0,3.19,Lightweight,Rear Naked Choke,SUB,Record: 29-13-0 (1 NC),Aug 30 1983,5' 8,71,2.88,2.78,Southpaw,40,59,1.9,41,1.69,47,155,Record: 17-3-1,Feb 15 1973,5' 6,,2.1,1.17,Switch,30,56,0.7,0,0,14,155,Jim Miller
9512,October 18 2008,Per Eklund,Samy Schiavo,3,0,3,31,23,5,1,1,1,1.47,Lightweight,Rear Naked Choke,SUB,Record: 14-5-1,--,5' 10,72,2.38,2.07,Orthodox,61,67,3.6,11,2.07,50,155,Record: 10-6-0,Dec 24 1975,5' 8,,2.62,1.68,Orthodox,34,38,0.9,50,0.94,66,155,Per Eklund
15539,October 25 2008,Anderson Silva,Patrick Cote,0,0,3,29,16,0,0,1,0,0.39,Middleweight,,KO/TKO,Record: 34-9-0 (1 NC),Apr 14 1975,6' 2,77,1.96,3.06,Southpaw,62,61,0.8,77,0.53,69,185,Record: 24-11-0,Feb 29 1980,5' 11,71,3.21,2.81,Orthodox,48,48,0.2,20,0.68,43,170,Anderson Silva
15539,October 25 2008,Thiago Alves,Josh Koscheck,0,0,3,80,39,0,0,0,0,5,Welterweight,,U-DEC,Record: 28-13-0,Oct 03 1983,5' 9,70,3.36,3.71,Orthodox,41,61,0.3,65,0.7,62,170,Record: 19-10-0,Nov 30 1977,5' 10,73,2.27,1.79,Orthodox,36,63,0.4,48,2.46,64,170,Thiago Alves
15539,October 25 2008,Gray Maynard,Rich Clementi,7,0,3,22,7,2,0,5,0,5,Lightweight,,U-DEC,Record: 14-8-1 (1 NC),May 09 1979,5' 9,70,2.64,1.92,Orthodox,32,66,0.7,47,2.91,81,155,Record: 40-20-1,Mar 31 1976,5' 9,72,2.29,1.43,Southpaw,37,60,1.1,42,1.72,25,155,Gray Maynard
15539,October 25 2008,Junior Dos Santos,Fabricio Werdum,0,0,1,7,6,0,0,0,0,1.21,Heavyweight,Punch,KO/TKO,Record: 21-5-0,Jan 30 1984,6' 4,77,3.07,4.76,Orthodox,48,58,0.1,55,0.34,80,238,Record: 23-8-1,Jul 30 1977,6' 4,77,2.45,3.61,Orthodox,51,56,1.1,30,1.65,31,231,Junior Dos Santos
15539,October 25 2008,Sean Sherk,Tyson Griffin,2,0,3,92,74,0,0,3,0,5,Lightweight,,U-DEC,Record: 36-4-1,Aug 05 1973,5' 6,67,2.71,2.17,Orthodox,35,55,0.4,46,4.09,56,155,Record: 15-6-0,Apr 20 1984,5' 6,68,2.3,3.71,Orthodox,41,65,0.9,46,1.87,59,145,Sean Sherk
15539,October 25 2008,Thales Leites,Drew McFedries,1,0,1,0,1,1,0,1,0,1.18,Middleweight,Rear Naked Choke,SUB,Record: 28-9-0,Sep 06 1981,6' 1,78,2.99,2.13,Orthodox,40,52,1.1,27,2.1,30,185,Record: 10-6-0,Jul 27 1978,6' 0,72,4.56,5.13,Southpaw,51,52,0.7,100,1.42,56,185,Thales Leites
15539,October 25 2008,Spencer Fisher,Shannon Gugerty,0,0,3,30,28,2,1,0,2,3.56,Lightweight,Triangle Choke,SUB,Record: 25-9-0,May 09 1976,5' 7,70,3.03,3.17,Southpaw,43,64,0.8,30,0.67,60,155,Record: 14-6-0,Dec 30 1981,5' 10,71,1.88,1.25,Orthodox,39,58,3.4,27,2.13,50,155,Spencer Fisher
15539,October 25 2008,Dan Miller,Matt Horwich,1,2,3,31,15,0,5,6,0,5,Middleweight,,U-DEC,Record: 14-8-0 (1 NC),Jun 30 1981,6' 1,74,3.06,2.03,Orthodox,36,49,1.8,54,1.67,47,185,Record: 26-19-1,Oct 02 1978,6' 1,,2.16,1.11,Orthodox,62,38,2.7,9,0.33,28,185,Dan Miller
15539,October 25 2008,Hermes Franca,Marcus Aurelio,0,1,3,60,40,0,0,0,1,5,Lightweight,,U-DEC,Record: 22-12-0 (1 NC),Aug 26 1974,5' 6,71,2.85,1.78,Orthodox,39,55,2.4,36,1.53,37,155,Record: 21-10-0,Aug 18 1973,5' 10,74,2.27,1.42,Orthodox,33,59,1.3,27,1.69,27,155,Hermes Franca
15539,October 25 2008,Pete Sell,Joshua Burkman,1,1,3,65,50,1,0,1,4,5,Welterweight,,U-DEC,Record: 9-5-0,Aug 05 1982,5' 11,75,3.65,2.6,Orthodox,42,51,0.9,21,0.91,47,170,Record: 29-17-0 (1 NC),Apr 10 1980,5' 10,72,3.13,2.69,Orthodox,43,51,0.3,36,2.53,72,170,Pete Sell
14272,November 15 2008,Brock Lesnar,Randy Couture,2,0,2,31,11,0,0,2,1,3.07,Heavyweight,Punches,KO/TKO,Record: 5-3-0 (1 NC),Jul 12 1977,6' 3,81,2.11,3.53,Orthodox,72,50,0.5,55,3.9,60,265,Record: 19-11-0,Jun 22 1963,6' 1,75,1.53,2.85,Orthodox,57,59,0.5,46,2.78,58,205,Brock Lesnar
14272,November 15 2008,Kenny Florian,Joe Stevenson,4,0,1,17,6,1,0,1,1,4.03,Lightweight,Rear Naked Choke,SUB,Record: 14-6-0,May 26 1976,5' 10,74,1.85,2.41,Southpaw,40,63,1.3,33,2.22,60,145,Record: 31-14-0,Jun 15 1982,5' 7,70,2.44,2.05,Orthodox,44,60,2.2,44,2.75,39,145,Kenny Florian
14272,November 15 2008,Dustin Hazelett,Tamdan McCrory,0,0,1,10,15,3,0,0,0,3.59,Welterweight,Armbar,SUB,Record: 12-7-0,Apr 29 1986,6' 1,76,3.51,2.24,Orthodox,40,46,4.1,50,0.55,25,170,Record: 14-5-0,Nov 05 1986,6' 4,78,1.6,2.07,Switch,49,46,2.5,50,2.28,33,185,Dustin Hazelett
14272,November 15 2008,Gabriel Gonzaga,Josh Hendricks,0,0,1,12,1,0,0,0,0,1.01,Heavyweight,Punch,KO/TKO,Record: 17-11-0,May 18 1979,6' 2,76,2.94,2.12,Orthodox,45,57,1.1,39,2.8,66,242,Record: 18-7-0 (1 NC),Aug 28 1976,6' 2,,11.8,0.98,Southpaw,20,29,0,0,0,0,235,Gabriel Gonzaga
14272,November 15 2008,Demian Maia,Nate Quarry,3,0,1,2,0,1,0,1,0,2.13,Middleweight,Rear Naked Choke,SUB,Record: 26-9-0,Nov 06 1977,6' 1,72,1.94,1.77,Southpaw,42,64,1.1,25,2.56,65,170,Record: 12-4-0,Mar 18 1972,6' 0,72,2.8,4.96,Open Stance,44,66,0,33,0.25,60,185,Demian Maia
14272,November 15 2008,Aaron Riley,Jorge Gurgel,0,0,3,98,70,0,0,1,1,5,Lightweight,,U-DEC,Record: 29-14-1,Dec 09 1980,5' 8,69,3.78,3.45,Southpaw,34,61,0.1,34,1.18,60,155,Record: 14-9-0,Jan 25 1977,5' 7,69,3.62,3.37,Orthodox,32,62,0.5,23,0.81,60,155,Aaron Riley
14272,November 15 2008,Jeremy Stephens,Rafael Dos Anjos,0,3,3,22,9,0,2,0,4,0.39,Lightweight,Punch,KO/TKO,Record: 28-16-0,May 25 1986,5' 8,71,2.84,3.08,Orthodox,40,59,0.4,36,1.11,64,145,Record: 28-11-0,Oct 26 1984,5' 8,70,3.32,3.62,Southpaw,45,62,0.7,40,1.96,58,170,Jeremy Stephens
14272,November 15 2008,Mark Bocek,Alvin Robinson,12,0,3,21,5,6,0,1,0,3.16,Lightweight,Rear Naked Choke,SUB,Record: 12-5-0,Oct 24 1981,5' 8,75,2.32,2.34,Orthodox,43,60,1.3,36,3.65,31,155,Record: 12-6-0,Jul 16 1982,5' 9,68,1.29,1.57,Southpaw,50,51,1.2,50,1.24,25,155,Mark Bocek
14272,November 15 2008,Matt Brown,Ryan Thomas,0,2,2,15,15,3,0,1,5,0.57,Welterweight,Armbar,SUB,Record: 23-16-0,Jan 10 1981,6' 0,75,2.64,3.78,Orthodox,53,56,1.6,46,1.57,63,170,Record: 12-7-0,Nov 05 1984,6' 0,,4.17,2.01,Orthodox,36,30,2.2,33,5.59,0,170,Matt Brown
10000,December 10 2008,Josh Koscheck,Yoshiyuki Yoshida,0,0,1,6,6,0,0,0,0,2.15,Welterweight,Punches,KO/TKO,Record: 19-10-0,Nov 30 1977,5' 10,73,2.27,1.79,Orthodox,36,63,0.4,48,2.46,64,170,Record: 13-6-0,May 10 1974,5' 11,70,3.67,0.85,Southpaw,36,36,2.8,28,1.41,25,170,Josh Koscheck
10000,December 10 2008,Mike Swick,Jonathan Goulet,0,0,1,7,1,0,0,0,0,0.33,Welterweight,Punch,KO/TKO,Record: 15-6-0,Jun 19 1979,6' 1,77,2.29,2.36,Orthodox,37,54,0.6,50,1.06,61,170,Record: 23-12-0 (1 NC),Jul 13 1979,6' 0,73,2,1.61,Orthodox,41,46,0.6,70,4.17,45,170,Mike Swick
10000,December 10 2008,Steve Cantwell,Razak Al-Hassan,2,0,1,15,13,1,0,1,0,4.04,Light Heavyweight,Armbar,SUB,Record: 7-6-0,Dec 08 1986,6' 2,75,5.76,3.63,Orthodox,34,55,0.7,30,0.65,80,185,Record: 11-5-0,May 14 1982,6' 2,,3.14,3.27,Orthodox,39,60,0,14,0.65,57,205,Steve Cantwell
10000,December 10 2008,Tim Credeur,Nate Loughran,2,0,2,52,25,0,0,1,0,5,Middleweight,,KO/TKO,Record: 12-4-0,Jul 09 1977,6' 3,75,3.13,3.59,Orthodox,30,57,3.3,100,0.41,50,185,Record: 9-1-0,Jul 28 1980,6' 2,,4.11,1.81,Orthodox,40,59,2.1,0,0,0,185,Tim Credeur
10000,December 10 2008,Jim Miller,Matt Wiman,3,0,3,61,20,2,0,4,1,5,Lightweight,,U-DEC,Record: 29-13-0 (1 NC),Aug 30 1983,5' 8,71,2.88,2.78,Southpaw,40,59,1.9,41,1.69,47,155,Record: 16-7-0,Sep 19 1983,5' 10,68,3.24,3.51,Orthodox,50,54,1.8,38,2.41,63,155,Jim Miller
10000,December 10 2008,Luigi Fioravanti,Brodie Farber,10,0,3,30,10,5,1,8,1,5,Welterweight,,U-DEC,Record: 22-11-0,Jan 22 1981,5' 8,70,2.21,2.23,Orthodox,42,69,0.9,63,3.76,67,170,Record: 14-6-0,Jul 05 1980,6' 1,,2.17,1.69,Orthodox,45,53,0.9,50,0.9,20,170,Luigi Fioravanti
10000,December 10 2008,Steve Bruno,Johnny Rees,3,1,2,10,36,1,0,3,1,3.44,Welterweight,Rear Naked Choke,SUB,Record: 14-5-0,Nov 03 1981,5' 10,,3.38,0.96,Orthodox,52,36,0.4,25,1.94,46,170,Record: 12-4-0 (1 NC),Oct 21 1982,6' 0,,0.84,3.29,Orthodox,64,47,0,25,1.15,50,170,Steve Bruno
10000,December 10 2008,Ben Saunders,Brandon Wolff,0,0,1,42,0,0,0,0,0,1.49,Welterweight,Knees,KO/TKO,Record: 22-11-2,Apr 13 1983,6' 2,77,3.58,3.19,Orthodox,50,51,1,40,0.22,68,170,Record: 7-5-0,Oct 18 1975,5' 9,,10.91,0.47,Orthodox,33,19,0,0,0,0,170,Ben Saunders
10000,December 10 2008,Dale Hartt,Corey Hill,0,2,2,8,8,0,0,0,2,0.2,Lightweight,,KO/TKO,Record: 6-3-0,Apr 04 1979,5' 10,69,1.55,1.14,Orthodox,35,66,2.5,100,1.22,25,155,Record: 4-4-0,Oct 03 1978,6' 4,80,1.61,3.57,Orthodox,46,70,0,80,3.02,100,155,Dale Hartt
10000,December 10 2008,Justin McCully,Eddie Sanchez,0,1,3,40,42,0,0,1,0,5,Heavyweight,,U-DEC,Record: 10-5-2,Feb 18 1976,6' 1,73,2.02,1.58,Orthodox,37,46,0,44,1.28,43,225,Record: 13-5-0,Nov 04 1982,6' 2,74,3.3,3.45,Orthodox,43,43,0,26,1.13,42,230,Justin McCully
1853,December 13 2008,Efrain Escudero,Phillipe Nover,5,1,3,27,20,0,2,7,0,5,Lightweight,,U-DEC,Record: 25-11-0,Jan 15 1986,5' 9,70,2.3,2.92,Orthodox,44,63,0.8,40,1.31,66,155,Record: 12-8-1,Feb 03 1984,5' 9,72,2.48,1.79,Orthodox,35,56,0.7,28,0.99,44,145,Efrain Escudero
1853,December 13 2008,Ryan Bader,Vinny Magalhaes,0,0,1,15,4,0,0,0,0,2.18,Light Heavyweight,Punch,KO/TKO,Record: 23-5-0,Jun 07 1983,6' 2,74,1.39,2.82,Orthodox,43,71,0.4,44,3.37,80,205,Record: 11-7-0 (1 NC),Jul 02 1984,6' 3,79,3.97,2.14,Orthodox,24,68,0.8,44,1.55,66,205,Ryan Bader
1853,December 13 2008,Anthony Johnson,Kevin Burns,2,0,3,35,17,0,2,3,0,0.28,Welterweight,Kick,KO/TKO,Record: 22-6-0,Mar 06 1984,6' 2,78,1.83,3.25,Orthodox,47,60,0.6,57,2.43,77,205,Record: 9-5-0,Mar 03 1980,5' 10,74,4.3,2.74,Orthodox,38,52,0.8,50,0.28,47,170,Anthony Johnson
1853,December 13 2008,Wilson Gouveia,Jason MacDonald,1,0,1,18,6,0,0,0,1,2.18,Middleweight,Elbow,KO/TKO,Record: 12-8-0,Oct 03 1978,6' 1,76,4.06,3.02,Orthodox,39,56,2.2,66,0.9,57,185,Record: 26-16-0,Jun 03 1975,6' 3,80,2.7,1.55,Orthodox,52,46,2,16,1.43,35,185,Wilson Gouveia
1853,December 13 2008,Junie Browning,David Kaplan,6,0,2,31,12,2,1,2,2,1.32,Lightweight,Armbar,SUB,Record: 4-5-0,May 12 1984,5' 9,,1.76,3.76,Orthodox,48,66,3.5,66,3.53,0,155,Record: 3-4-0,Nov 16 1979,5' 7,,4.32,2.88,Orthodox,46,67,0.7,43,4.88,0,155,Junie Browning
1853,December 13 2008,Krzysztof Soszynski,Shane Primm,4,0,2,19,7,1,0,0,1,3.27,Light Heavyweight,Kimura,SUB,Record: 26-12-1,Aug 02 1977,6' 1,77,3.13,3.37,Open Stance,39,58,1,25,0.52,71,205,Record: 6-5-0,Jul 30 1984,6' 3,,2.25,0.83,Orthodox,26,62,0,20,1.78,0,205,Krzysztof Soszynski
1853,December 13 2008,Eliot Marshall,Jules Bruchez,3,0,1,8,1,2,0,1,0,1.27,Light Heavyweight,Rear Naked Choke,SUB,Record: 10-4-0,Jul 07 1980,6' 2,77,2.39,1.93,Orthodox,27,67,0.9,33,0.47,79,205,Record: 1-2-0,Aug 16 1977,6' 0,,5.52,0.69,Southpaw,50,46,0,0,0,0,205,Eliot Marshall
1853,December 13 2008,Tom Lawlor,Kyle Kingsbury,2,0,3,14,10,0,0,7,0,5,Light Heavyweight,,U-DEC,Record: 10-6-0 (1 NC),May 15 1983,6' 0,74,2.41,2.5,Southpaw,42,60,1.4,32,2.46,57,205,Record: 11-6-0 (1 NC),Mar 22 1982,6' 4,76,3.81,2.97,Orthodox,40,51,0,41,2.64,52,205,Tom Lawlor
1853,December 13 2008,Shane Nelson,George Roop,4,1,3,10,21,2,0,3,1,5,Lightweight,,S-DEC,Record: 15-5-0,Nov 29 1984,5' 9,70,2.84,1.38,Southpaw,31,61,1.6,18,1.31,54,155,Record: 15-13-1,Nov 10 1981,6' 1,72,2.47,3.43,Orthodox,34,60,0.1,57,1.05,59,135,Shane Nelson
1853,December 13 2008,Rolando Delgado,John Polakowski,4,0,2,15,1,3,1,1,0,2.18,Lightweight,Guillotine Choke,SUB,Record: 11-5-1,Nov 22 1981,6' 3,77,1.83,1.56,Orthodox,40,62,3.5,22,1.17,0,155,Record: 2-2-0,Jun 21 1981,5' 10,,2.05,0.14,Orthodox,4,44,2,0,0,75,155,Rolando Delgado
14166,December 27 2008,Rashad Evans,Forrest Griffin,1,0,3,49,50,0,0,1,0,2.46,Light Heavyweight,Punches,KO/TKO,Record: 24-8-1,Sep 25 1979,6' 0,75,2.42,2.14,Orthodox,37,63,0,44,2.98,73,205,Record: 19-7-0,Mar 16 1979,6' 3,77,2.81,4.38,Orthodox,36,61,0.7,48,1.05,57,205,Rashad Evans
14166,December 27 2008,Frank Mir,Minotauro Nogueira,0,0,2,37,10,0,0,1,0,1.54,Heavyweight,Punch,KO/TKO,Record: 18-11-0,May 24 1979,6' 3,79,3.84,2.18,Southpaw,47,38,2,40,2.02,54,264,Record: 34-10-1 (1 NC),Jun 02 1976,6' 3,77,2.4,1.95,Orthodox,42,55,2.4,29,1.3,36,240,Frank Mir
14166,December 27 2008,CB Dollaway,Mike Massenzio,2,0,1,9,3,0,2,1,0,3.01,Middleweight,Punches,KO/TKO,Record: 18-10-0,Aug 10 1983,6' 2,76,2.58,2.65,Orthodox,47,54,1.2,54,3.55,62,185,Record: 13-6-0,Nov 01 1982,6' 2,73,3.59,2.08,Southpaw,45,54,1.4,24,2.74,50,185,CB Dollaway
14166,December 27 2008,Rampage Jackson,Wanderlei Silva,0,0,1,11,7,0,0,0,0,3.21,Light Heavyweight,Punch,KO/TKO,Record: 36-11-0,Jun 20 1978,6' 1,73,2.51,3.25,Orthodox,54,55,0.1,56,1.52,73,205,Record: 35-12-1 (1 NC),Jul 03 1976,5' 11,74,2.19,2.79,Orthodox,40,60,0.6,53,0.97,62,205,Rampage Jackson
