event_date,event_name,fighter1,fighter2,pass_stat_f1,pass_stat_f2,round_,str_stat_f1,str_stat_f2,sub_stat_f1,sub_stat_f2,td_stat_f1,td_stat_f2,time,weight_class,win_method_finish,win_method_type,winner,f1_dob,f1_record,f1_height,f1_reach,f1_sapm,f1_slpm,f1_stance,f1_stk_acc,f1_stk_def,f1_sub_avg,f1_td_acc,f1_td_avg,f1_td_def,f1_weight,f2_dob,f2_record,f2_height,f2_reach,f2_sapm,f2_slpm,f2_stance,f2_stk_acc,f2_stk_def,f2_sub_avg,f2_td_acc,f2_td_avg,f2_td_def,f2_weight
September 26 2003,UFC 44: Undisputed,Nick Diaz,Jeremy Jackson,4,0,3,17,9,2,0,6,0,2.04,Welterweight,Armbar,SUB,Nick Diaz,Aug 02 1983,Record: 26-9-0 (2 NC),6' 1",76,3.56,5.43,Southpaw,42,61,1,33,1.32,60,185,Sep 19 1982,Record: 9-5-0,5' 10",null,2.03,0.71,Orthodox,27,25,0,40,1.52,58,170
September 26 2003,UFC 44: Undisputed,Hermes Franca,Caol Uno,2,2,2,13,32,1,0,2,1,2.46,Lightweight,Punch,KO/TKO,Hermes Franca,Aug 26 1974,Record: 22-12-0 (1 NC),5' 6",71,2.85,1.78,Orthodox,39,55,2.4,36,1.53,37,155,May 08 1975,Record: 26-15-5,5' 7",70,1.9,1.91,Southpaw,49,50,0.5,31,1.95,37,155
November 21 2003,UFC 45: Revolution,Matt Hughes,Frank Trigg,2,0,1,0,0,2,1,1,1,3.54,Welterweight,Rear Naked Choke,SUB,Matt Hughes,Oct 13 1973,Record: 45-9-0,5' 9",73,1.36,2.14,Switch,53,53,1.2,50,2.95,35,170,May 07 1972,Record: 21-9-0,5' 9",71,1.9,2.79,Southpaw,46,56,0.8,47,2.35,75,170
November 21 2003,UFC 45: Revolution,Matt Lindland,Falaniko Vitale,3,2,3,35,3,1,0,1,0,4.23,Middleweight,Punches,KO/TKO,Matt Lindland,May 17 1970,Record: 22-9-0,6' 0",74,1.56,2.62,Southpaw,50,52,1.3,48,3.01,60,185,Jul 14 1974,Record: 29-10-0,5' 10",null,3.68,1.88,Orthodox,49,47,0,33,0.72,86,185
November 21 2003,UFC 45: Revolution,Wesley Correira,David Abbott,0,0,1,13,11,0,0,0,0,2.14,Heavyweight,,KO/TKO,Wesley Correira,Nov 11 1978,Record: 19-14-0,6' 3",null,8.8,2.6,Orthodox,36,40,0,0,0,90,260,--,Record: 10-14-0,6' 0",null,3.55,1.35,Switch,30,38,0,33,1.07,66,265
November 21 2003,UFC 45: Revolution,Evan Tanner,Phil Baroni,2,0,1,28,17,0,0,1,0,4.42,Middleweight,Elbows,KO/TKO,Evan Tanner,Feb 11 1971,Record: 32-8-0,6' 0",74,2.64,3.05,Orthodox,59,56,1.3,43,2.55,25,185,Apr 16 1976,Record: 14-15-0,5' 9",72,3.93,2.77,Orthodox,45,40,0.5,47,1.46,60,170
November 21 2003,UFC 45: Revolution,Robbie Lawler,Chris Lytle,2,0,3,30,37,0,1,3,1,5,Welterweight,,U-DEC,Robbie Lawler,Mar 20 1982,Record: 28-14-0 (1 NC),5' 11",74,4.16,3.57,Southpaw,45,60,0,66,0.71,65,170,Aug 18 1974,Record: 31-18-5,5' 11",68,3.03,3.76,Orthodox,45,58,2.4,55,0.7,55,170
November 21 2003,UFC 45: Revolution,Pedro Rizzo,Ricco Rodriguez,0,0,3,30,15,0,0,0,0,5,Heavyweight,,U-DEC,Pedro Rizzo,May 03 1974,Record: 19-10-0,6' 1",null,3.02,1.93,Orthodox,34,50,0,28,0.26,78,241,Aug 19 1977,Record: 47-13-0 (1 NC),6' 4",null,1.15,1.85,Orthodox,51,61,1,39,2.3,40,265
November 21 2003,UFC 45: Revolution,Keith Rockel,Chris Liguori,3,0,1,5,1,1,0,1,0,3.29,Middleweight,Guillotine Choke,SUB,Keith Rockel,--,Record: 12-4-1,6' 0",null,0.21,1.13,Orthodox,73,66,4.6,75,4.63,100,185,--,Record: 13-9-0,5' 9",null,1.44,0.29,Orthodox,33,0,0,0,0,50,185
November 21 2003,UFC 45: Revolution,Yves Edwards,Nick Agallar,0,0,2,33,5,0,0,0,0,2.14,Lightweight,Punch,KO/TKO,Yves Edwards,Sep 30 1976,Record: 42-22-1 (1 NC),5' 9",73,2.34,2.91,Southpaw,42,66,0.7,53,0.76,69,155,Jan 13 1979,Record: 24-6-0,5' 8",null,4.56,0.69,Orthodox,11,42,0,0,0,0,155
