event_attendance,event_date,event_name,fighter1,fighter2,pass_stat_f1,pass_stat_f2,round,str_stat_f1,str_stat_f2,sub_stat_f1,sub_stat_f2,td_stat_f1,td_stat_f2,time,weight_class,win_method_finish,win_method_type,winner
10249,January 27 2018,UFC Fight Night: Jacare vs. Brunson 2,Niko Price,George Sullivan,3,0,2,24,21,3,0,2,1,4.21,Welterweight,Rear Naked Choke,SUB,Niko Price
10249,January 27 2018,UFC Fight Night: Jacare vs. Brunson 2,Cory Sandhagen,Austin Arnett,1,1,2,80,32,0,0,1,1,3.48,Featherweight,Punches,KO/TKO,Cory Sandhagen
12437,February 10 2018,UFC 221: Romero vs. Rockhold,Yoel Romero,Luke Rockhold,0,0,3,45,45,0,0,0,0,1.48,Middleweight,Punch,KO/TKO,Yoel Romero
12437,February 10 2018,UFC 221: Romero vs. Rockhold,Curtis Blaydes,Mark Hunt,10,0,3,56,14,0,0,10,0,5.0,Heavyweight,,U-DEC,Curtis Blaydes
12437,February 10 2018,UFC 221: Romero vs. Rockhold,Tai Tuivasa,Cyril Asker,0,0,1,38,3,0,0,0,0,2.18,Heavyweight,Elbow,KO/TKO,Tai Tuivasa
12437,February 10 2018,UFC 221: Romero vs. Rockhold,Jake Matthews,Li Jingliang,4,0,3,63,49,1,0,2,0,5.0,Welterweight,,U-DEC,Jake Matthews
12437,February 10 2018,UFC 221: Romero vs. Rockhold,Tyson Pedro,Saparbeg Safarov,0,1,1,12,8,1,0,0,2,3.54,Light Heavyweight,Kimura,SUB,Tyson Pedro
12437,February 10 2018,UFC 221: Romero vs. Rockhold,Dong Hyun Ma,Damien Brown,0,0,3,67,46,0,0,0,0,5.0,Lightweight,,S-DEC,Dong Hyun Ma
12437,February 10 2018,UFC 221: Romero vs. Rockhold,Israel Adesanya,Rob Wilkinson,0,1,2,52,22,0,0,0,3,3.37,Middleweight,Punches,KO/TKO,Israel Adesanya
12437,February 10 2018,UFC 221: Romero vs. Rockhold,Alexander Volkanovski,Jeremy Kennedy,4,0,2,73,8,0,0,2,0,4.57,Featherweight,Punches,KO/TKO,Alexander Volkanovski
12437,February 10 2018,UFC 221: Romero vs. Rockhold,Jussier Formiga,Ben Nguyen,4,0,3,27,21,1,0,2,0,1.43,Flyweight,Rear Naked Choke,SUB,Jussier Formiga
12437,February 10 2018,UFC 221: Romero vs. Rockhold,Ross Pearson,Mizuto Hirota,0,0,3,58,77,0,0,0,0,5.0,Lightweight,,U-DEC,Ross Pearson
12437,February 10 2018,UFC 221: Romero vs. Rockhold,Jose Quinonez,Teruto Ishihara,1,0,3,49,33,0,0,2,1,5.0,Bantamweight,,U-DEC,Jose Quinonez
12437,February 10 2018,UFC 221: Romero vs. Rockhold,Luke Jumeau,Daichi Abe,0,0,3,63,63,0,0,1,0,5.0,Welterweight,,U-DEC,Luke Jumeau
10444,February 03 2018,UFC Fight Night: Machida vs. Anders,Lyoto Machida,Eryk Anders,0,0,5,62,32,0,0,0,3,5.0,Middleweight,,S-DEC,Lyoto Machida
10444,February 03 2018,UFC Fight Night: Machida vs. Anders,Valentina Shevchenko,Priscila Cachoeira,4,0,2,95,2,2,0,2,0,4.25,Women's Flyweight,Rear Naked Choke,SUB,Valentina Shevchenko
10444,February 03 2018,UFC Fight Night: Machida vs. Anders,Michel Prazeres,Desmond Green,3,1,3,36,33,3,0,3,3,5.0,Lightweight,,U-DEC,Michel Prazeres
10444,February 03 2018,UFC Fight Night: Machida vs. Anders,Tim Johnson,Marcelo Golm,0,0,3,77,59,0,0,0,0,5.0,Heavyweight,,U-DEC,Tim Johnson
10444,February 03 2018,UFC Fight Night: Machida vs. Anders,Douglas Silva de Andrade,Marlon Vera,0,0,3,97,72,0,0,1,0,5.0,Bantamweight,,U-DEC,Douglas Silva de Andrade
10444,February 03 2018,UFC Fight Night: Machida vs. Anders,Thiago Santos,Anthony Smith,0,1,2,58,10,0,0,0,1,1.03,Middleweight,Kick,KO/TKO,Thiago Santos
10444,February 03 2018,UFC Fight Night: Machida vs. Anders,Sergio Moraes,Tim Means,0,0,3,87,129,0,0,0,0,5.0,Welterweight,,S-DEC,Sergio Moraes
10444,February 03 2018,UFC Fight Night: Machida vs. Anders,Alan Patrick,Damir Hadzovic,6,0,3,28,20,0,1,9,0,5.0,Lightweight,,U-DEC,Alan Patrick
10444,February 03 2018,UFC Fight Night: Machida vs. Anders,Polyana Viana,Maia Stevenson,4,0,1,12,6,3,0,1,1,3.5,Women's Strawweight,Rear Naked Choke,SUB,Polyana Viana
10444,February 03 2018,UFC Fight Night: Machida vs. Anders,Iuri Alcantara,Joe Soto,1,0,1,17,1,0,0,0,0,1.06,Bantamweight,Punches,KO/TKO,Iuri Alcantara
10444,February 03 2018,UFC Fight Night: Machida vs. Anders,Deiveson Figueiredo,Joseph Morales,3,0,2,31,9,1,0,2,0,4.34,Flyweight,Punches,KO/TKO,Deiveson Figueiredo
10502,February 18 2018,UFC Fight Night: Cerrone vs. Medeiros,Donald Cerrone,Yancy Medeiros,0,0,1,28,25,0,0,0,0,4.58,Welterweight,Punch,KO/TKO,Donald Cerrone
10502,February 18 2018,UFC Fight Night: Cerrone vs. Medeiros,Derrick Lewis,Marcin Tybura,2,8,3,30,37,0,1,1,1,2.48,Heavyweight,Punch,KO/TKO,Derrick Lewis
10502,February 18 2018,UFC Fight Night: Cerrone vs. Medeiros,James Vick,Francisco Trinaldo,0,2,3,68,26,0,1,1,3,5.0,Lightweight,,U-DEC,James Vick
10502,February 18 2018,UFC Fight Night: Cerrone vs. Medeiros,Curtis Millender,Thiago Alves,0,1,2,47,33,0,0,0,1,4.17,Welterweight,Knee,KO/TKO,Curtis Millender
10502,February 18 2018,UFC Fight Night: Cerrone vs. Medeiros,Brandon Davis,Steven Peterson,1,1,3,114,73,0,0,0,1,5.0,Featherweight,,U-DEC,Brandon Davis
10124,February 24 2018,UFC Fight Night: Emmett vs. Stephens,Jeremy Stephens,Josh Emmett,0,0,2,24,18,0,0,0,0,1.35,Featherweight,Punch,KO/TKO,Jeremy Stephens
10124,February 24 2018,UFC Fight Night: Emmett vs. Stephens,Jessica Andrade,Tecia Torres,8,1,3,92,69,0,0,10,2,5.0,Women's Strawweight,,U-DEC,Jessica Andrade
10124,February 24 2018,UFC Fight Night: Emmett vs. Stephens,Ilir Latifi,Ovince Saint Preux,0,0,1,25,7,1,0,0,0,3.48,Light Heavyweight,Guillotine Choke,SUB,Ilir Latifi
10124,February 24 2018,UFC Fight Night: Emmett vs. Stephens,Max Griffin,Mike Perry,0,1,3,78,45,0,0,0,1,5.0,Welterweight,,U-DEC,Max Griffin
10124,February 24 2018,UFC Fight Night: Emmett vs. Stephens,Brian Kelleher,Renan Barao,0,0,3,94,116,0,0,1,0,5.0,Bantamweight,,U-DEC,Brian Kelleher
10124,February 24 2018,UFC Fight Night: Emmett vs. Stephens,Marion Reneau,Sara McMann,0,1,2,23,9,1,0,0,2,3.4,Women's Bantamweight,Triangle Choke,SUB,Marion Reneau
10502,February 18 2018,UFC Fight Night: Cerrone vs. Medeiros,Sage Northcutt,Thibault Gouti,1,2,3,63,28,0,1,1,4,5.0,Lightweight,,U-DEC,Sage Northcutt
10502,February 18 2018,UFC Fight Night: Cerrone vs. Medeiros,Diego Ferreira,Jared Gordon,2,0,1,29,8,0,0,0,0,1.58,Lightweight,Punch,KO/TKO,Diego Ferreira
10502,February 18 2018,UFC Fight Night: Cerrone vs. Medeiros,Geoff Neal,Brian Camozzi,0,0,1,14,7,1,0,0,0,2.48,Welterweight,Rear Naked Choke,SUB,Geoff Neal
10502,February 18 2018,UFC Fight Night: Cerrone vs. Medeiros,Roberto Sanchez,Joby Sanchez,2,0,1,2,1,1,0,3,0,1.5,Flyweight,Rear Naked Choke,SUB,Roberto Sanchez
10502,February 18 2018,UFC Fight Night: Cerrone vs. Medeiros,Lucie Pudilova,Sarah Moras,2,1,3,75,43,0,2,0,2,5.0,Women's Bantamweight,,U-DEC,Lucie Pudilova
10502,February 18 2018,UFC Fight Night: Cerrone vs. Medeiros,Alex Morono,Joshua Burkman,0,0,1,7,4,1,0,0,0,2.12,Welterweight,Guillotine Choke,SUB,Alex Morono
10502,February 18 2018,UFC Fight Night: Cerrone vs. Medeiros,Oskar Piechota,Tim Williams,0,0,1,17,8,0,0,0,0,1.54,Middleweight,Punch,KO/TKO,Oskar Piechota
10124,February 24 2018,UFC Fight Night: Emmett vs. Stephens,Angela Hill,Maryna Moroz,1,0,3,114,84,0,0,1,0,5.0,Women's Strawweight,,U-DEC,Angela Hill
10124,February 24 2018,UFC Fight Night: Emmett vs. Stephens,Alan Jouban,Ben Saunders,1,0,2,78,33,0,0,0,0,2.38,Welterweight,Punch,KO/TKO,Alan Jouban
10124,February 24 2018,UFC Fight Night: Emmett vs. Stephens,Sam Alvey,Marcin Prachnio,1,0,1,10,15,0,0,1,0,4.23,Light Heavyweight,Punch,KO/TKO,Sam Alvey
10124,February 24 2018,UFC Fight Night: Emmett vs. Stephens,Rani Yahya,Russell Doane,5,1,3,17,2,2,0,2,1,2.32,Bantamweight,Arm Triangle,SUB,Rani Yahya
10124,February 24 2018,UFC Fight Night: Emmett vs. Stephens,Alex Perez,Eric Shelton,1,0,3,29,41,0,0,5,0,5.0,Flyweight,,U-DEC,Alex Perez
10124,February 24 2018,UFC Fight Night: Emmett vs. Stephens,Manny Bermudez,Albert Morales,4,1,2,12,19,3,0,1,1,2.33,Bantamweight,Guillotine Choke,SUB,Manny Bermudez
12041,March 03 2018,UFC 222: Cyborg vs. Kunitskaya,Cris Cyborg,Yana Kunitskaya,0,1,1,33,5,0,0,1,1,3.25,Women's Featherweight,Punches,KO/TKO,Cris Cyborg
12041,March 03 2018,UFC 222: Cyborg vs. Kunitskaya,Brian Ortega,Frankie Edgar,0,0,1,25,27,0,0,0,0,4.44,Featherweight,Punch,KO/TKO,Brian Ortega
12041,March 03 2018,UFC 222: Cyborg vs. Kunitskaya,Sean O'Malley,Andre Soukhamthath,1,4,3,63,25,3,0,0,4,5.0,Bantamweight,,U-DEC,Sean O'Malley
12041,March 03 2018,UFC 222: Cyborg vs. Kunitskaya,Andrei Arlovski,Stefan Struve,2,0,3,46,34,0,0,4,0,5.0,Heavyweight,,U-DEC,Andrei Arlovski
12041,March 03 2018,UFC 222: Cyborg vs. Kunitskaya,Ketlen Vieira,Cat Zingano,7,0,3,41,59,1,0,2,0,5.0,Women's Bantamweight,,S-DEC,Ketlen Vieira
12041,March 03 2018,UFC 222: Cyborg vs. Kunitskaya,Mackenzie Dern,Ashley Yoder,1,0,3,70,52,1,0,1,0,5.0,Women's Strawweight,,S-DEC,Mackenzie Dern
12041,March 03 2018,UFC 222: Cyborg vs. Kunitskaya,Alexander Hernandez,Beneil Dariush,1,0,1,8,4,0,0,0,0,0.42,Lightweight,Punch,KO/TKO,Alexander Hernandez
12041,March 03 2018,UFC 222: Cyborg vs. Kunitskaya,John Dodson,Pedro Munhoz,0,0,3,76,69,0,0,0,1,5.0,Bantamweight,,S-DEC,John Dodson
12041,March 03 2018,UFC 222: Cyborg vs. Kunitskaya,CB Dollaway,Hector Lombard,0,0,1,13,19,0,0,0,0,5.0,Middleweight,,DQ,CB Dollaway
12041,March 03 2018,UFC 222: Cyborg vs. Kunitskaya,Zak Ottow,Mike Pyle,0,0,1,22,4,0,0,0,0,2.34,Welterweight,Punches,KO/TKO,Zak Ottow
12041,March 03 2018,UFC 222: Cyborg vs. Kunitskaya,Cody Stamann,Bryan Caraway,0,3,3,95,59,0,0,0,1,5.0,Bantamweight,,S-DEC,Cody Stamann
