date_of_birth,fighter_name,fighter_record,height,reach,sapm,slpm,stance,strike_acc,strike_def,sub_avg,td_acc,td_avg,td_def,weight
Apr 21 1988,Ronny Markes,Record: 14-3-0,"6' 1""",75,2.43,2.17,Orthodox,53,45.0,0.5,40,3.13,100,185
Sep 02 1986,Enrique Marin,Record: 9-4-0,"5' 10""",74,3.0,1.43,,33,50.0,1.0,38,2.5,60,170
Oct 12 1986,Marcos Mariano,Record: 6-5-0,"6' 1""",,4.07,0.61,Switch,33,50.0,0.0,0,0.0,0,155
Jan 04 1982,Jose Maria,Record: 33-5-0 (2 NC),"5' 5""",,3.98,3.2,Orthodox,53,52.0,2.3,27,2.32,33,125
Dec 03 1977,Cristiano Marcello,Record: 13-6-0,"5' 9""",72,3.61,2.56,Orthodox,33,58.0,0.9,11,0.44,20,155
Feb 18 1980,Jimi Manuwa,Record: 17-5-0,"6' 1""",79,3.99,3.44,Orthodox,54,48.0,0.4,18,0.54,70,205
Jul 21 1987,Chris Manuel,Record: 8-3-2,"5' 9""",,2.67,2.53,Orthodox,40,66.0,0.0,20,1.0,100,135
--,Steve Mann,Record: 12-5-0,"6' 1""",,0.66,3.18,,70,57.0,0.0,100,1.64,60,170
Jul 07 1986,Jon Manley,Record: 7-3-0,"6' 1""",75,4.33,1.13,Orthodox,20,45.0,0.0,7,1.0,20,170
Dec 27 1976,Melchor Manibusan,Record: 2-4-0,"5' 5""",,5.79,1.58,Southpaw,54,15.0,0.0,0,0.0,0,154
May 11 1976,Melvin Manhoef,Record: 25-9-1 (1 NC),"5' 9""",,2.64,3.52,Orthodox,48,51.0,0.0,25,0.33,78,185
--,Michael Mangan,Record: 0-3-0,--,,4.52,1.94,,33,46.0,0.0,50,19.35,100,155
Feb 01 1980,Troy Mandaloniz,Record: 3-2-0,"5' 9""",,4.71,3.52,Orthodox,56,63.0,0.0,66,3.1,57,170
--,Mike Malott,Record: 5-1-1,"6' 0""",,4.53,4.53,,36,51.0,0.0,33,2.0,0,145
--,Carl Malenko,Record: 6-4-0,"5' 11""",,0.0,0.0,Orthodox,0,0.0,0.0,0,0.0,0,200
May 16 1986,Nazareno Malegarie,Record: 28-5-0,"5' 8""",70,3.27,3.87,,34,69.0,0.0,33,1.0,0,155
--,Bea Malecki,Record: 2-0-0,--,,0.0,0.0,,0,0.0,0.0,0,0.0,0,145
--,Marvin Maldonado,Record: 2-4-0 (1 NC),"5' 6""",,3.47,0.87,,56,43.0,0.0,0,0.0,20,135
Mar 17 1980,Fabio Maldonado,Record: 22-9-0,"6' 1""",75,4.31,5.29,Orthodox,58,53.0,0.6,57,0.44,61,205
--,Jeremy Malaterre,Record: 4-2-0,"5' 11""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,155
Apr 19 1983,Zach Makovsky,Record: 19-8-0,"5' 4""",64,2.24,1.94,Southpaw,43,62.0,0.3,30,3.71,56,125
Feb 13 1970,Aliev Makhmud,Record: 0-1-0,"5' 6""",,2.24,1.12,Southpaw,30,36.0,0.0,50,2.1,0,195
Oct 27 1991,Islam Makhachev,Record: 16-1-0,"5' 10""",70,0.82,2.24,Orthodox,60,64.0,1.3,86,4.33,100,155
Jan 07 1989,Levan Makashvili,Record: 10-2-1,"5' 8""",68,2.07,2.87,Orthodox,54,61.0,0.0,42,3.67,85,145
May 03 1985,John Makdessi,Record: 17-6-0,"5' 8""",68,3.77,5.43,Orthodox,50,70.0,0.0,0,0.0,87,155
Oct 06 1988,Jennifer Maia,Record: 16-5-1,"5' 4""",64,4.17,3.4,Orthodox,43,37.0,0.0,0,0.0,33,125
Nov 06 1977,Demian Maia,Record: 26-9-0,"6' 1""",72,1.94,1.77,Southpaw,42,64.0,1.1,25,2.56,65,170
Nov 30 1986,Klayton Mai,Record: 8-3-0,"5' 9""",,1.02,1.53,,42,63.0,7.7,100,3.83,0,125
Feb 01 1967,Bill Mahood,Record: 20-7-1 (1 NC),"6' 3""",,3.59,1.54,Orthodox,85,17.0,3.9,0,0.0,0,200
--,Michelle Maher,Record: 1-2-0,--,,0.0,0.0,,0,0.0,0.0,0,0.0,0,145
--,Lolohea Mahe,Record: 5-2-1,--,,6.92,1.71,,29,40.0,0.0,40,2.44,0,
May 19 1983,John Maguire,Record: 18-6-0,"5' 9""",69,2.44,1.41,Southpaw,41,65.0,1.1,46,2.8,77,155
Mar 01 1991,Zabit Magomedsharipov,Record: 17-1-0,"6' 1""",73,2.44,4.53,Orthodox,53,66.0,1.0,59,6.23,77,145
Nov 26 1986,Ruslan Magomedov,Record: 14-1-0,"6' 3""",78,1.47,4.02,Orthodox,47,66.0,0.0,100,0.33,88,242
Nov 29 1984,Rashid Magomedov,Record: 20-2-0,"5' 9""",70,3.05,4.4,Orthodox,49,54.0,0.2,57,0.67,89,155
--,Ibragim Magomedov,Record: 22-7-1,"6' 0""",,3.86,0.26,Orthodox,4,42.0,0.0,0,0.0,0,250
Aug 03 1987,Neil Magny,Record: 21-8-0,"6' 3""",80,2.22,3.86,Orthodox,46,56.0,0.3,46,2.62,60,170
Aug 02 1983,Angela Magana,Record: 11-9-0,"5' 1""",65,4.92,1.53,,28,42.0,0.4,25,0.4,28,115
--,Brandon Magana,Record: 6-2-0,--,,0.0,0.0,Orthodox,0,0.0,0.0,0,0.0,0,170
--,Eric Magana,Record: 1-1-0,--,,0.0,0.0,,0,0.0,0.0,0,0.0,0,
Apr 08 1981,Bernardo Magalhaes,Record: 11-3-0,"5' 9""",65,3.37,1.8,Orthodox,27,68.0,0.5,0,0.0,0,155
Dec 14 1987,Caio Magalhaes,Record: 9-3-0,"6' 1""",73,2.78,2.27,Orthodox,40,56.0,1.6,15,1.05,58,185
Jul 30 1971,Vinicius Magalhaes,Record: 2-1-0,--,,0.0,0.0,,0,0.0,0.0,0,0.0,0,145
Jul 02 1984,Vinny Magalhaes,Record: 11-7-0 (1 NC),"6' 3""",79,3.97,2.14,Orthodox,24,68.0,0.8,44,1.55,66,205
Apr 25 1989,Leonardo Mafra,Record: 12-3-0,"5' 10""",70,4.38,4.55,Orthodox,48,43.0,0.4,83,2.12,69,155
Oct 31 1981,Yoshiro Maeda,Record: 28-12-2,"5' 7""",68,2.55,2.36,Southpaw,33,63.0,0.7,51,2.93,50,139
Feb 12 1980,Jon Madsen,Record: 7-1-0,"6' 0""",72,1.18,2.46,Orthodox,41,81.0,0.0,71,1.32,70,240
--,Ryan Madigan,Record: 5-3-0,"6' 0""",,3.35,0.0,Orthodox,0,47.0,0.0,0,0.0,0,170
Nov 12 1990,Don Madge,Record: 8-3-1,"6' 0""",72,0.96,4.01,Southpaw,67,66.0,2.9,0,0.0,0,155
Jun 20 1978,Reza Madadi,Record: 14-6-0,"5' 11""",72,3.31,2.51,Orthodox,46,66.0,0.5,33,3.17,89,155
--,Anthony Macias,Record: 26-16-0,"5' 9""",,0.0,0.0,Switch,0,0.0,0.0,0,0.0,0,185
Nov 30 1981,Jon Koppenhaver,Record: 11-4-0,"5' 11""",,3.17,2.32,Orthodox,60,43.0,0.0,50,1.16,40,170
May 30 1978,Lyoto Machida,Record: 24-8-0,"6' 1""",74,1.57,2.59,Southpaw,53,61.0,0.4,65,1.21,75,185
--,Ilima Macfarlane,Record: 6-0-0,"5' 4""",,2.93,4.13,,43,65.0,1.0,0,0.0,50,125
--,Clayton MacFarlane,Record: 4-1-0,--,,1.82,1.33,,52,55.0,0.0,33,1.05,37,170
Oct 30 1995,Veronica Macedo,Record: 5-3-1,"5' 4""",64,3.7,1.93,Southpaw,45,37.0,0.4,100,0.83,50,125
Mar 18 1993,Ryan MacDonald,Record: 10-1-0,"5' 11""",71,4.6,1.0,Switch,20,42.0,0.0,0,0.0,0,135
Jul 22 1989,Rory MacDonald,Record: 18-4-0,"6' 0""",76,2.8,3.75,Orthodox,42,62.0,0.4,47,1.77,88,170
Sep 05 1978,Rob MacDonald,Record: 5-4-0,"6' 3""",78,2.04,1.8,Orthodox,50,46.0,5.4,80,7.19,80,205
Jun 03 1975,Jason MacDonald,Record: 26-16-0,"6' 3""",80,2.7,1.55,Orthodox,52,46.0,2.0,16,1.43,35,185
Jul 01 1991,William Patolino,Record: 8-3-0,"5' 11""",75,3.96,4.92,Orthodox,54,65.0,0.0,45,1.85,78,170
Sep 09 1988,Dong Hyun Ma,Record: 15-9-3,"5' 11""",70,4.56,3.54,Orthodox,45,53.0,0.0,60,1.56,33,155
--,Adam Lynn,Record: 17-8-0 (1 NC),"5' 10""",,6.95,1.47,Orthodox,63,10.0,0.0,0,0.0,50,155
--,Stevie Lynch,Record: 5-2-0,"5' 10""",,7.06,2.47,Orthodox,25,41.0,0.0,0,0.0,0,170
May 12 1973,Travis Lutter,Record: 10-6-0,"5' 11""",75,2.42,0.41,Orthodox,32,42.0,0.7,24,1.95,30,185
--,Thaddeus Luster,Record: 0-1-0,"6' 3""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,210
Nov 27 1991,Vicente Luque,Record: 15-6-1,"5' 11""",75,4.67,5.13,Orthodox,57,54.0,1.2,50,1.19,62,170
Sep 03 1974,Alexandru Lungu,Record: 8-2-0,"6' 0""",,7.22,3.61,Orthodox,66,40.0,0.0,0,0.0,0,385
--,Dalcha Lungiambula,Record: 9-1-0,"5' 10""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,205
Jul 24 1979,Mike Lullo,Record: 8-3-0,"5' 8""",,4.84,2.48,Orthodox,36,40.0,0.6,11,1.18,0,145
Aug 04 1978,Duane Ludwig,Record: 29-14-0,"5' 10""",70,3.04,4.61,Orthodox,44,57.0,0.1,25,0.43,59,170
--,Cleber Luciano,Record: 14-6-0,"5' 6""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,155
--,Matt Lucas,Record: 14-2-0,"6' 1""",,3.93,1.27,,48,40.0,0.0,10,1.0,0,205
--,Robert Lucarelli,Record: 0-1-0,"6' 2""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,245
Dec 12 1989,Joe Lowry,Record: 8-1-0,"5' 10""",72,11.86,5.93,Orthodox,42,38.0,0.0,0,0.0,0,155
--,Brandon Lowe,Record: 2-1-0,--,,0.0,0.0,,0,0.0,0.0,0,0.0,0,155
Oct 31 1980,Waylon Lowe,Record: 11-5-0 (2 NC),"5' 7""",,2.4,1.88,Southpaw,55,53.0,0.3,55,4.47,83,145
--,Jakob Lovstad,Record: 11-4-0,"6' 3""",,9.43,0.0,Orthodox,0,35.0,0.0,0,0.0,0,205
Sep 07 1983,Ian Loveland,Record: 14-9-0,"5' 8""",,2.36,2.71,Orthodox,40,64.0,0.3,37,1.0,69,145
--,Rashard Lovelace,Record: 4-1-0,--,,0.0,0.0,,0,0.0,0.0,0,0.0,0,155
Jul 28 1980,Nate Loughran,Record: 9-1-0,"6' 2""",,4.11,1.81,Orthodox,40,59.0,2.1,0,0.0,0,185
May 12 1989,Brendan Loughnane,Record: 5-2-0,"5' 9""",71,3.6,5.0,,63,66.0,0.0,0,0.0,91,155
Apr 06 1994,Benito Lopez,Record: 9-1-0,"5' 10""",73,5.04,4.89,Switch,45,59.0,0.5,0,0.0,78,135
Jan 21 1987,Matthew Lopez,Record: 10-4-0,"5' 7""",69,3.73,3.13,Southpaw,50,55.0,1.3,60,3.32,71,135
Jan 30 1986,Christopher Lopez,Record: 9-1-0 (1 NC),"5' 10""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,170
Nov 21 1988,Jorge Lopez,Record: 11-3-0,"5' 10""",,2.57,2.47,Orthodox,59,50.0,0.0,41,3.5,81,170
--,Federico Lopez,Record: 5-5-0,"5' 4""",,5.35,1.78,Orthodox,23,30.0,0.0,0,0.0,0,139
Jul 30 1984,Steve Lopez,Record: 12-6-1,"5' 11""",,2.69,1.39,Orthodox,24,62.0,0.0,0,0.0,37,155
--,Ivan Lopez,Record: 8-1-1,"5' 6""",,2.24,0.9,Southpaw,26,65.0,0.0,0,0.0,30,135
Sep 26 1984,Dileno Lopes,Record: 19-3-0,"5' 5""",65,3.33,2.37,,36,53.0,1.5,31,2.5,100,135
Oct 05 1979,Lucas Lopes,Record: 19-13-0,"6' 2""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,185
--,Thomas Longacre,Record: 6-1-0,"5' 9""",,0.0,0.0,Orthodox,0,0.0,0.0,0,0.0,0,145
Feb 18 1978,Rocky Long,Record: 19-27-1,--,,0.0,0.0,,0,0.0,0.0,0,0.0,0,145
Feb 02 1978,Hector Lombard,Record: 34-10-1 (2 NC),"5' 9""",71,3.35,3.02,Southpaw,46,53.0,0.5,48,1.69,77,185
Dec 17 1979,David Loiseau,Record: 20-10-0,"6' 0""",76,3.64,1.59,Orthodox,44,43.0,0.1,42,0.43,36,185
May 23 1982,Sean Loeffler,Record: 25-5-0,"6' 3""",,0.0,0.0,Orthodox,0,0.0,0.0,0,0.0,0,185
Aug 11 1986,Artem Lobov,Record: 14-15-1 (1 NC),"5' 9""",65,4.82,3.52,Southpaw,41,50.0,0.0,25,0.39,52,145
Feb 26 1968,John Lober,Record: 5-9-4,"5' 11""",,0.0,0.0,Orthodox,0,0.0,0.0,0,0.0,0,199
--,Brian Lo-A-Njoe,Record: 6-9-3,"5' 7""",,0.0,3.87,Orthodox,42,0.0,0.0,0,0.0,66,155
Sep 04 1982,Abner Lloveras,Record: 19-8-1,"5' 11""",71,6.87,6.27,,49,43.0,0.0,20,2.0,0,155
--,Wesley Little,Record: 4-6-0,"6' 4""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,205
Feb 13 1976,Dean Lister,Record: 11-7-0,"6' 1""",75,1.89,1.26,Orthodox,35,61.0,1.1,15,1.58,50,185
Jan 26 1994,Ariane Lipski,Record: 11-4-0,"5' 6""",,5.67,3.53,Orthodox,34,50.0,0.0,100,1.0,66,125
Aug 17 1985,Philipe Lins,Record: 10-2-0,"6' 2""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,205
Dec 08 1973,Lucio Linhares,Record: 15-7-0,"6' 2""",,3.47,0.99,Orthodox,22,34.0,1.9,50,1.86,50,185
Jun 12 1990,John Lineker,Record: 31-8-0,"5' 3""",67,3.95,5.22,Orthodox,40,56.0,0.6,60,0.52,69,135
Jun 21 1986,Jake Lindsey,Record: 9-3-0,"5' 11""",71,4.01,3.44,Switch,52,46.0,0.0,33,0.65,50,155
May 17 1970,Matt Lindland,Record: 22-9-0,"6' 0""",74,1.56,2.62,Southpaw,50,52.0,1.3,48,3.01,60,185
--,Miguel Linares,Record: 2-4-0,--,,8.84,6.51,,50,36.0,0.0,0,0.0,0,
Jan 25 1994,Mabelly Lima,Record: 7-1-0,"5' 2""",,5.67,3.07,Orthodox,63,44.0,0.0,0,0.0,100,135
Jan 05 1988,Douglas Lima,Record: 29-6-0,"6' 1""",,2.84,1.92,,36,60.0,0.0,100,0.6,46,170
Mar 15 1982,Juliana Lima,Record: 9-5-0,"5' 5""",65,2.11,1.94,Orthodox,44,55.0,0.0,31,1.72,70,115
Jan 31 1989,Dhiego Lima,Record: 15-7-0,"6' 2""",74,2.96,2.56,Orthodox,45,50.0,1.4,66,2.13,50,170
Jan 16 1985,Hyun Gyu Lim,Record: 13-7-1,"6' 3""",77,5.07,4.45,Orthodox,41,51.0,0.2,100,0.23,73,170
Nov 09 1979,Jae Suk Lim,Record: 15-5-0,"5' 9""",,4.05,2.43,Orthodox,50,37.0,0.0,100,12.16,100,170
--,Chris Liguori,Record: 13-9-0,"5' 9""",,1.44,0.29,Orthodox,33,0.0,0.0,0,0.0,50,185
--,Donnie Liles,Record: 13-5-0,"5' 9""",,1.75,2.25,Orthodox,41,65.0,1.2,28,2.5,0,170
Oct 15 1978,Scott Lighty,Record: 6-2-0,"6' 2""",,4.24,2.91,,21,49.0,0.0,0,0.0,0,205
Feb 06 1974,Zach Light,Record: 8-11-0,"5' 8""",,1.9,0.81,Orthodox,33,48.0,0.0,100,1.36,0,170
--,Sam Liera,Record: 4-3-0,--,,7.36,0.82,,60,51.0,0.0,0,0.0,66,
Dec 17 1969,Chuck Liddell,Record: 21-8-0,"6' 2""",76,2.71,2.97,Orthodox,35,56.0,0.0,75,0.44,81,205
--,Jess Liaudin,Record: 19-11-0,"5' 9""",72,2.76,2.46,Orthodox,51,41.0,1.6,53,3.28,30,170
May 05 1991,Bevon Lewis,Record: 6-1-0,"6' 3""",79,3.31,6.49,Orthodox,48,57.0,0.0,0,0.0,100,185
Feb 07 1985,Derrick Lewis,Record: 21-7-0 (1 NC),"6' 3""",79,2.38,2.69,Orthodox,50,44.0,0.0,23,0.47,53,260
--,John Lewis,Record: 3-4-3,"6' 0""",,4.0,0.0,Southpaw,0,66.0,0.0,0,0.0,0,155
--,David Levicki,Record: 1-3-0,"6' 5""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,275
--,Kyle Levinton,Record: 0-3-0,--,,0.0,0.0,,0,0.0,0.0,0,0.0,0,
Jul 17 1982,Marcus LeVesseur,Record: 22-7-0,"5' 9""",70,3.7,2.55,Southpaw,64,37.0,0.6,36,3.89,83,155
Apr 18 1980,Justin Levens,Record: 9-8-0,"5' 11""",,3.49,0.37,Orthodox,20,40.0,2.8,0,0.0,33,185
Aug 21 1992,Leah Letson,Record: 5-2-0,"5' 7""",71,3.8,4.87,,40,63.0,0.0,0,0.0,100,145
Apr 29 1983,Valerie Letourneau,Record: 8-6-0,"5' 7""",68,5.4,4.51,Orthodox,37,58.0,0.3,45,0.77,66,115
Jun 10 1984,Frank Lester,Record: 6-6-0 (1 NC),"5' 11""",,3.82,2.18,Orthodox,36,53.0,0.0,0,0.0,0,170
Jul 12 1977,Brock Lesnar,Record: 5-3-0 (1 NC),"6' 3""",81,2.11,3.53,Orthodox,72,50.0,0.5,55,3.9,60,265
Nov 05 1981,Lukasz Les,Record: 7-3-0,--,,0.0,0.0,,0,0.0,0.0,0,0.0,0,170
--,Michael Lerma,Record: 0-1-0,--,,6.47,0.0,,0,45.0,0.0,0,0.0,0,
Jan 05 1968,Kimo Leopoldo,Record: 10-7-1,"6' 3""",,2.12,0.76,Orthodox,83,30.0,2.3,100,4.55,0,235
Feb 19 1980,Chad Leonhardt,Record: 8-3-0,"6' 0""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,170
May 27 1987,Anthony Leone,Record: 9-5-0,"5' 6""",,2.52,1.94,Orthodox,53,56.0,0.0,18,1.72,0,135
--,Alberta Cerra Leon,Record: 0-1-0,"5' 8""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,238
Aug 13 1984,Nik Lentz,Record: 32-9-2 (1 NC),"5' 8""",68,3.03,3.49,Orthodox,50,50.0,1.3,34,3.58,44,155
Nov 29 1972,Jean Francois Lenogue,Record: 15-14-3,"6' 0""",,0.27,1.13,Orthodox,34,60.0,0.0,0,0.0,33,185
Mar 10 1982,Jesse Lennox,Record: 15-3-0,"5' 9""",72,3.2,2.69,Orthodox,32,64.0,0.3,66,1.22,63,170
--,Christophe Leninger,Record: 3-4-0,"6' 0""",,0.0,0.0,Southpaw,0,0.0,0.0,0,0.0,0,200
May 22 1987,Amanda Lemos,Record: 6-1-1,"5' 4""",65,12.81,8.63,Southpaw,64,47.0,0.0,100,1.9,0,135
--,Gabe Lemley,Record: 13-9-0,"5' 8""",,6.03,0.82,Orthodox,35,45.0,0.0,0,0.0,0,155
Jun 03 1974,Stefan Leko,Record: 0-3-0,"6' 2""",,6.17,2.4,Orthodox,43,68.0,0.0,0,0.0,0,215
Sep 06 1981,Thales Leites,Record: 28-9-0,"6' 1""",78,2.99,2.13,Orthodox,40,52.0,1.1,27,2.1,30,185
Mar 15 1994,Cheyden Leialoha,Record: 6-0-0,"5' 8""",73,3.2,1.87,Orthodox,28,53.0,0.0,33,2.0,71,135
Oct 27 1978,Sherron Leggett,Record: 21-6-0,"5' 8""",,2.08,2.86,Southpaw,51,47.0,0.0,80,5.19,33,155
--,Ricky Legere Jr.,Record: 14-4-0,"5' 8""",,1.53,1.07,,41,60.0,0.0,41,5.0,0,170
Feb 11 1989,Andrea Lee,Record: 10-2-0,"5' 6""",69,3.0,5.57,Orthodox,55,69.0,1.0,42,1.5,72,125
Apr 08 1987,Rocky Lee,Record: 3-2-0,"5' 9""",68,5.33,2.47,Orthodox,51,44.0,0.0,10,1.0,33,145
Sep 04 1992,Kevin Lee,Record: 17-4-0,"5' 9""",77,3.18,4.06,Orthodox,43,52.0,1.0,43,3.1,80,155
Oct 15 1982,Vaughan Lee,Record: 14-11-1,"5' 6""",66,2.07,3.47,Orthodox,47,70.0,1.0,33,0.81,72,125
--,Matt Lee,Record: 13-10-1,"5' 11""",,9.68,0.0,Orthodox,0,21.0,0.0,0,0.0,0,155
--,Imani Lee,Record: 2-3-0,--,,0.94,0.0,Orthodox,0,33.0,0.0,0,0.0,0,
Jan 20 1977,Tommy Lee,Record: 25-6-0 (1 NC),"5' 7""",,0.3,0.0,Orthodox,0,75.0,0.0,33,4.57,0,145
Jan 17 1975,Tae Hyun Lee,Record: 1-2-0,"6' 6""",,3.89,1.37,Orthodox,31,54.0,0.0,100,5.15,0,295
Mar 07 1982,Eun Soo Lee,Record: 15-3-0 (1 NC),"6' 1""",,3.05,0.0,Orthodox,0,60.0,0.0,0,0.0,50,215
--,Jackie Lee,Record: 0-1-0,--,,0.0,0.0,,0,0.0,0.0,0,0.0,0,
--,David Lee,Record: 9-7-0,"5' 10""",,3.31,1.49,Orthodox,50,42.0,0.0,0,0.0,50,155
Sep 22 1973,James Lee,Record: 14-3-0 (1 NC),"5' 11""",,3.72,1.4,Southpaw,42,27.0,7.0,50,13.95,0,205
Sep 28 1988,Justin Ledet,Record: 9-2-0 (1 NC),"6' 4""",80,4.46,3.45,Orthodox,41,48.0,0.3,50,0.32,40,205
Jun 30 1982,Stephen Ledbetter,Record: 8-3-0,"5' 9""",,1.6,1.2,Orthodox,38,57.0,0.0,45,5.0,100,145
Aug 16 1987,Mickael Lebout,Record: 14-5-1 (1 NC),"5' 11""",73,2.98,2.6,Orthodox,34,54.0,0.0,0,0.0,60,155
Jul 21 1980,Chris Leben,Record: 22-11-0,"5' 11""",74,2.87,2.87,Southpaw,42,52.0,0.8,41,1.14,53,185
Dec 26 1972,Jerome LeBanner,Record: 3-2-0,"6' 3""",,1.03,0.92,Southpaw,35,37.0,0.0,0,0.0,50,265
Aug 28 1985,Thanh Le,Record: 6-1-0,"5' 9""",74,1.82,1.97,Orthodox,40,70.0,0.0,0,0.0,100,145
May 25 1972,Cung Le,Record: 9-3-0,"5' 9""",69,2.98,4.36,Southpaw,48,66.0,0.3,71,1.37,88,185
Aug 15 1985,Valmir Lazaro,Record: 13-4-0,"6' 0""",73,4.09,4.87,Orthodox,37,61.0,0.0,40,1.33,96,155
--,Eric Lawson,Record: 9-4-0,"6' 0""",,1.97,1.58,Orthodox,57,44.0,3.0,42,8.88,0,185
May 15 1990,Justin Lawrence,Record: 5-2-0,"5' 8""",67,2.83,3.84,Orthodox,35,67.0,0.0,28,0.72,73,145
May 15 1983,Tom Lawlor,Record: 10-6-0 (1 NC),"6' 0""",74,2.41,2.5,Southpaw,42,60.0,1.4,32,2.46,57,205
Mar 20 1982,Robbie Lawler,Record: 28-13-0 (1 NC),"5' 11""",74,3.95,3.6,Southpaw,45,60.0,0.0,66,0.76,69,170
Jan 11 1981,Muhammed Lawal,Record: 9-1-0 (1 NC),"6' 0""",78,1.61,3.79,Southpaw,52,66.0,0.0,75,5.96,87,205
May 24 1976,Chatt Lavender,Record: 9-7-0,"5' 8""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,170
Mar 30 1988,Dan Lauzon,Record: 15-4-0,"5' 10""",,4.09,1.34,Orthodox,25,61.0,2.7,33,1.63,80,155
May 22 1984,Joe Lauzon,Record: 27-16-0,"5' 10""",71,5.39,2.74,Orthodox,38,54.0,2.1,45,2.34,54,155
Aug 01 1988,Jenel Lausa,Record: 7-5-0,"5' 5""",68,3.53,1.44,Orthodox,42,53.0,0.8,66,0.55,51,125
--,Sione Latu,Record: 1-0-0,"6' 0""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,215
Jul 28 1983,Ilir Latifi,Record: 15-6-0 (1 NC),"5' 10""",73,2.66,2.34,Orthodox,42,56.0,0.6,32,1.89,100,205
Jul 16 1976,Bobby Lashley,Record: 7-1-0,"6' 3""",78,0.76,3.1,Orthodox,63,63.0,0.0,70,11.47,0,255
Dec 30 1980,Ryan Larson,Record: 6-2-0,--,,0.0,0.0,,0,0.0,0.0,0,0.0,0,170
Aug 23 1977,Brock Larson,Record: 33-6-0,"5' 11""",71,1.5,1.39,Southpaw,46,55.0,2.0,34,2.67,43,170
May 18 1984,Jeremy Larsen,Record: 8-5-0 (1 NC),"5' 10""",70,5.75,4.87,Orthodox,48,57.0,0.0,33,2.49,0,145
Sep 03 1986,Lorenz Larkin,Record: 18-5-0 (1 NC),"5' 11""",72,2.74,3.53,Orthodox,46,63.0,0.1,42,0.27,79,170
Mar 12 1980,Icho Larenas,Record: 5-4-0,"6' 3""",,2.5,0.17,Orthodox,15,28.0,0.0,0,0.0,14,235
Feb 13 1980,Anthony Lapsley,Record: 25-7-0 (2 NC),"5' 9""",71,0.58,0.53,Southpaw,34,66.0,0.0,0,0.0,20,170
Jul 23 1986,Chad Laprise,Record: 14-4-0,"5' 10""",71,3.59,4.78,Orthodox,42,65.0,0.0,54,1.05,78,170
Apr 08 1992,Taylor Lapilus,Record: 11-2-0,"5' 6""",73,2.0,3.77,Southpaw,45,61.0,0.6,40,0.58,81,135
Mar 13 1982,Lina Lansberg,Record: 8-4-0,"5' 7""",65,5.31,3.63,Orthodox,55,46.0,0.2,22,0.5,33,135
Aug 31 1980,Lionel Lanham,Record: 3-1-0,--,,0.0,0.0,,0,0.0,0.0,0,0.0,0,205
May 11 1975,Jeremy Lang,Record: 21-2-0,"5' 11""",,1.41,1.13,Southpaw,50,42.0,4.2,60,4.22,0,205
Aug 26 1986,Aaron Lanfranco,Record: 5-1-0,--,,0.0,0.0,,0,0.0,0.0,0,0.0,0,155
Nov 09 1987,Austen Lane,Record: 4-1-0,"6' 6""",80,6.32,5.26,Orthodox,35,60.0,0.0,0,0.0,0,245
Sep 09 1973,Jose Landi-Jons,Record: 27-14-0,"5' 11""",,0.77,0.99,Orthodox,40,43.0,2.2,80,2.2,40,170
Jun 03 1975,Jason Lambert,Record: 25-12-0,"6' 3""",75,1.84,3.21,Orthodox,58,50.0,2.4,36,1.35,28,185
May 21 1982,Ricardo Lamas,Record: 19-7-0,"5' 8""",71,2.61,2.87,Orthodox,45,59.0,1.0,32,1.66,47,145
Nov 04 1990,Sean Lally,Record: 8-2-0,"6' 0""",74,7.23,5.34,Orthodox,39,30.0,0.0,0,0.0,0,170
--,Todd Lally,Record: 2-1-0,"5' 7""",,0.0,0.0,Orthodox,0,0.0,0.0,0,0.0,0,145
Jun 21 1965,Tim Lajcik,Record: 7-6-1,"6' 1""",,0.0,0.0,Orthodox,0,0.0,0.0,0,0.0,0,225
May 28 1988,Tina Lahdemaki,Record: 5-1-0,"5' 2""",62,4.67,1.93,Orthodox,20,57.0,0.0,0,0.0,16,115
Jun 08 1984,Noad Lahat,Record: 9-2-0,"5' 9""",69,1.47,2.79,Orthodox,46,63.0,2.4,26,2.37,16,145
--,Josh LaBerge,Record: 8-5-0,"5' 10""",,5.33,2.53,,36,44.0,0.0,0,0.0,71,145
Sep 04 1986,Ben Lagman,Record: 6-2-0,"6' 2""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,185
Apr 24 1978,Achmed Labasanov,Record: 8-5-0,"6' 3""",,1.1,0.75,Orthodox,39,46.0,0.8,100,3.0,0,215
--,Jarrod Kwitty,Record: 2-2-0,"5' 8""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,185
