date_of_birth,fighter_name,fighter_record,height,reach,sapm,slpm,stance,strike_acc,strike_def,sub_avg,td_acc,td_avg,td_def,weight
Mar 01 1988,Devin Powell,Record: 9-4-0,"6' 0""",73,3.67,2.88,Orthodox,41,51.0,0.6,0,0.0,0,155
Feb 23 1978,Ruan Potts,Record: 8-4-0,"6' 2""",75,5.92,0.85,Orthodox,37,22.0,2.3,16,0.75,33,247
Jun 09 1984,Callan Potter,Record: 17-8-0,"6' 0""",72,10.19,3.4,Orthodox,75,47.0,0.0,0,0.0,0,155
--,Parker Porter,Record: 6-4-0,--,,6.37,8.54,,47,64.0,1.9,100,1.91,0,260
Nov 23 1987,Felipe Portela,Record: 7-1-0,--,,0.0,0.0,,0,0.0,0.0,0,0.0,0,170
Sep 26 1986,Santiago Ponzinibbio,Record: 28-3-0,"6' 0""",73,4.02,4.27,Orthodox,39,64.0,0.0,44,0.54,60,170
Dec 27 1965,Mike Polchlopek,Record: 1-1-0,"6' 4""",,1.33,2.0,Orthodox,38,57.0,0.0,0,0.0,0,285
--,Brandon Polcare,Record: 1-1-0,--,,0.0,0.43,,50,0.0,0.0,0,0.0,0,125
Jun 21 1981,John Polakowski,Record: 2-2-0,"5' 10""",,2.05,0.14,Orthodox,4,44.0,2.0,0,0.0,75,155
Jan 02 1979,Igor Pokrajac,Record: 28-13-0 (1 NC),"6' 0""",76,4.26,2.25,Orthodox,45,40.0,0.2,29,0.87,51,205
Feb 18 1980,Ross Pointon,Record: 6-13-0,"5' 8""",,2.77,2.62,Orthodox,23,58.0,0.0,100,1.19,0,170
Jan 19 1989,Dustin Poirier,Record: 25-5-0 (1 NC),"5' 9""",72,4.08,5.75,Southpaw,49,56.0,1.2,37,1.63,69,155
Jun 11 1985,Dmitry Poberezhets,Record: 24-5-1 (1 NC),"6' 3""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,237
Nov 24 1990,Maki Pitolo,Record: 10-4-0,"5' 10""",72,0.0,0.0,Orthodox,0,0.0,0.0,0,0.0,0,185
Feb 13 1993,Liu Pingyuan,Record: 13-5-0,"5' 6""",72,4.13,2.9,Orthodox,41,46.0,2.0,20,0.5,55,135
Jun 22 1996,Jesus Pinedo,Record: 16-5-1,"5' 10""",,4.37,3.23,,38,52.0,0.0,100,2.5,100,155
Aug 06 1985,Daniel Pineda,Record: 18-11-0,"5' 7""",69,2.51,2.99,Orthodox,43,47.0,2.0,25,1.46,48,145
Jan 05 1990,Dom Pilarte,Record: 8-1-0,"6' 0""",74,7.86,4.95,Southpaw,50,41.0,2.2,50,2.18,0,135
Mar 10 1976,Sean Pierson,Record: 14-6-0,"6' 0""",76,3.73,3.84,Southpaw,39,64.0,0.4,18,0.39,66,170
Dec 11 1971,Joao Pierini,Record: 4-1-0,"6' 1""",,4.56,0.76,Switch,14,33.0,0.0,0,0.0,0,155
Sep 01 1980,Mike Pierce,Record: 17-7-0,"5' 8""",70,2.36,2.62,Orthodox,42,62.0,0.2,42,3.08,71,170
--,Nick Piedmont,Record: 12-7-1,"5' 10""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,145
Jan 24 1990,Oskar Piechota,Record: 11-1-1,"6' 0""",76,2.83,3.58,Southpaw,57,58.0,2.8,50,1.12,25,185
Aug 29 1988,Jamie Pickett,Record: 7-2-0,"6' 2""",80,2.64,1.02,Southpaw,41,45.0,0.0,40,6.1,0,185
Sep 24 1978,Brad Pickett,Record: 26-14-0,"5' 6""",68,4.63,3.02,Orthodox,31,55.0,0.4,44,2.47,58,135
Nov 23 1982,Vinc Pichel,Record: 11-2-0,"5' 10""",72,2.67,3.12,Orthodox,42,54.0,0.2,62,4.25,20,155
Oct 23 1988,Adam Piccolotti,Record: 9-0-0,"5' 11""",,2.83,4.61,,50,71.0,3.0,60,2.96,100,155
--,Nick Pica,Record: 5-1-0,"5' 10""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,185
Jun 12 1995,Kyler Phillips,Record: 6-1-0,"5' 8""",,2.61,18.26,Orthodox,56,50.0,0.0,0,0.0,100,135
Jun 09 1985,John Phillips,Record: 21-9-0 (1 NC),"5' 11""",75,4.99,2.51,Southpaw,33,52.0,0.0,0,0.0,14,185
Aug 20 1986,Elizabeth Phillips,Record: 5-4-0,"5' 6""",65,3.07,2.6,Orthodox,33,58.0,0.2,25,0.75,53,135
Aug 05 1989,Aaron Phillips,Record: 8-2-0,"5' 9""",70,3.33,1.87,Southpaw,59,40.0,0.5,0,0.0,35,135
Jan 12 1980,Dave Phillips,Record: 7-5-0,"6' 0""",,2.0,0.0,Orthodox,0,25.0,10.0,0,0.0,0,185
Jun 17 1983,Wayne Phillips,Record: 5-4-0,--,,0.0,0.0,,0,0.0,0.0,0,0.0,0,185
Nov 29 1979,Costas Philippou,Record: 13-5-0 (1 NC),"5' 11""",73,2.73,2.19,Orthodox,35,54.0,0.3,42,0.4,65,185
Mar 13 1983,Nam Phan,Record: 18-14-0,"5' 6""",70,6.55,4.52,Orthodox,37,59.0,0.2,18,0.18,60,135
Jul 12 1990,Cody Pfister,Record: 12-6-1,"5' 10""",73,2.8,1.41,Orthodox,25,51.0,0.0,30,2.82,0,155
--,Dino Pezao,Record: 1-2-0,--,,3.28,0.66,Orthodox,30,31.0,0.0,0,0.0,0,205
Sep 22 1975,Forrest Petz,Record: 24-9-0,"5' 9""",71,2.2,2.27,Orthodox,29,57.0,0.0,100,1.3,66,170
Aug 18 1993,Sergio Pettis,Record: 17-5-0,"5' 6""",69,2.93,3.68,Orthodox,37,64.0,0.4,40,0.92,67,135
Jan 27 1987,Anthony Pettis,Record: 22-8-0,"5' 10""",72,3.22,2.87,Orthodox,45,54.0,1.2,54,0.73,58,170
Dec 20 1990,Peter Petties,Record: 5-3-0 (1 NC),"5' 11""",72,8.24,2.61,Southpaw,29,48.0,0.0,0,0.0,0,145
Dec 03 1979,Seth Petruzelli,Record: 14-6-0,"6' 0""",76,2.08,2.17,Orthodox,41,55.0,2.3,50,0.46,47,205
May 29 1990,Steven Peterson,Record: 17-8-0,"5' 10""",70,5.0,4.38,Orthodox,34,56.0,0.5,25,2.25,85,145
--,Cory Peterson,Record: 2-1-0,"6' 11""",,6.51,2.17,Orthodox,60,40.0,0.0,0,0.0,0,400
--,Tommy Petersen,Record: 2-3-0,--,,0.0,0.0,,0,0.0,0.0,0,0.0,0,155
--,Tony Petarra,Record: 2-4-1,"5' 11""",,0.0,0.0,Orthodox,0,0.0,0.0,0,0.0,0,196
Jan 15 1984,Leiticia Pestova,Record: 0-2-0,"5' 6""",,24.62,0.0,Orthodox,0,44.0,0.0,0,0.0,0,135
Jul 15 1990,Viktor Pesta,Record: 10-4-0,"6' 3""",77,2.54,1.58,Orthodox,36,56.0,0.0,28,3.29,100,240
Sep 15 1991,Mike Perry,Record: 12-4-0,"5' 10""",71,4.44,4.02,Orthodox,45,57.0,0.0,55,0.83,68,170
May 24 1985,Hernani Perpetuo,Record: 17-5-0 (1 NC),"6' 0""",74,4.37,2.73,Orthodox,29,55.0,0.5,0,0.0,37,170
Dec 14 1987,Thiago Perpetuo,Record: 9-4-1,"5' 10""",71,3.51,5.39,Orthodox,69,51.0,0.0,50,2.82,66,170
Oct 05 1972,Anthony Perosh,Record: 15-10-0,"6' 3""",75,3.77,2.27,Orthodox,43,53.0,1.1,22,2.03,33,205
Jun 22 1988,Markus Perez,Record: 11-2-0,"6' 1""",73,4.24,2.56,Orthodox,47,49.0,1.5,28,1.48,81,185
Mar 21 1992,Alex Perez,Record: 22-5-0,"5' 6""",65,3.11,4.68,Orthodox,48,61.0,1.2,47,3.13,87,135
--,Jose Perez,Record: 1-0-0,--,,0.0,0.0,,0,0.0,0.0,0,0.0,0,
May 11 1989,Frankie Perez,Record: 10-4-0,"5' 11""",73,2.17,1.64,Orthodox,41,54.0,0.3,41,1.75,50,155
Sep 02 1989,Alejandro Perez,Record: 22-7-1,"5' 6""",67,2.92,3.58,Orthodox,35,64.0,0.1,20,0.53,73,135
Nov 19 1989,Erik Perez,Record: 17-6-0,"5' 8""",68,2.09,3.16,Orthodox,40,66.0,0.2,55,3.16,69,135
--,Philip Perez,Record: 7-5-1 (2 NC),"5' 5""",,0.68,1.36,Southpaw,100,66.0,10.2,100,10.23,0,155
--,Rolando Perez,Record: 6-5-2,"5' 8""",,4.83,4.23,Orthodox,36,63.0,0.0,0,0.0,100,135
Oct 06 1993,Michel Pereira,Record: 21-9-0 (2 NC),"6' 2""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,170
Aug 28 1993,Viviane Pereira,Record: 13-2-0,"5' 1""",63,4.48,2.7,Orthodox,30,58.0,0.2,100,0.25,28,115
Mar 14 1986,Robert Peralta,Record: 18-6-0 (1 NC),"5' 8""",71,2.97,3.76,Orthodox,44,53.0,0.0,66,0.59,65,145
--,Ray Perales,Record: 13-22-0,"5' 10""",,2.39,0.18,Orthodox,25,32.0,0.0,0,0.0,33,170
Jul 02 1987,Godofredo Pepey,Record: 14-6-0,"5' 7""",73,3.23,2.32,Orthodox,38,47.0,1.5,7,0.37,35,145
May 04 1982,Jerron Peoples,Record: 4-3-0,"6' 0""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,170
Sep 05 1988,Raquel Pennington,Record: 9-8-0,"5' 7""",67,3.31,3.42,Orthodox,47,62.0,0.9,28,1.16,64,135
--,Justin Pennington,Record: 2-2-0,"5' 4""",,0.0,0.0,,0,0.0,0.0,0,0.0,0,
Mar 26 1980,Nick Penner,Record: 12-3-0,"6' 4""",77,4.6,1.25,Southpaw,30,38.0,0.0,0,0.0,40,205
Jan 30 1983,Jessica Penne,Record: 12-6-0,"5' 5""",67,4.73,2.46,,33,48.0,0.6,25,1.58,20,115
Sep 02 1987,Cathal Pendred,Record: 17-5-1,"6' 1""",75,3.01,2.49,Orthodox,44,55.0,0.4,23,2.46,83,170
Dec 13 1978,BJ Penn,Record: 16-13-2,"5' 9""",70,3.12,2.7,Orthodox,49,56.0,0.5,55,1.24,75,155
Dec 08 1983,Drew Pendleton,Record: 4-0-0,--,,0.0,0.0,,0,0.0,0.0,0,0.0,0,145
Aug 01 1967,Sherman Pendergarst,Record: 11-18-0 (1 NC),"6' 1""",,3.08,1.23,Orthodox,36,16.0,0.0,100,4.62,0,235
